word,translation,count
equable,穩定 不變的,4
delinquent,怠忽職守的; 青少年犯罪,4
patriarchal,家長的 父權的 patri父親+arch統治,3
conclusive,決定性的,3
finesse,(高超的)技巧,3
amity,親善 國與國之間的友好關係,3
increment,增加 增值,3
ethics,倫理學 道德學 ethn:種族,3
exorcise,驅魔 exo+r+cise(切),3
figurative,比喻的 象徵的,3
indigenous,本土的,3
allocate,分配 配給,3
long-winded,冗長的 囉嗦的,2
chivalrous,有騎士精神 彬彬有禮的,2
corn,角,2
errant,錯誤的 去不當地方的,2
acuity,敏銳,2
enmity,敵意,2
philanthropic,博愛的 仁慈的 phil(愛)+ anthrop(人),2
coalition,同盟 聯合 con共同+al成長,2
asperity,嚴酷 粗魯,2
acute,靈敏的,2
august ,權威的 高貴的,2
debase,貶低 貶損,2
agile,靈敏的,2
agrarian,土地的,2
inalienable,不可剝奪的,2
animus,敵意 憎恨,2
celerity,速度 快速 靈敏,2
calcium,鈣,2
synchronize,同步,2
chant,歌唱 背誦,2
recant,改變 放棄(信仰或聲明) ==recantation,2
censor,審查 檢查 cens:評估,2
caustic,腐蝕性的 刻薄的,2
incense,激怒 ,2
predecessor,前任 前輩 原有事務,2
cavalry,武裝部隊 騎兵隊伍,2
boon,好處 利益,2
receptive,善於接受的,2
clannish,排他的,2
cynosure,眾人焦點(北極星),2
discretionary,任意的 自由決定的,2
accrue,產生(透過自然增長) 形成 ex: the wisdom that accures with age,2
collar,衣領,2
cult,宗派 迷信 狂熱者,2
crescendo,建強 cre  crue:增強,2
abscond,逃亡 scond: 藏,2
succumb,屈服 因…死亡,2
repercussion,反響 影響 回聲,2
equivalent,相等的 等值的,2
ambidextrous,十分靈巧的,2
decorum,端莊 彬彬有禮,2
condolence,弔唁 慰問,2
equitable,公正 合理的 <-> equable穩定 不變的,2
demotic,大眾的 通俗的,2
benediction ,祝福 祈禱,2
diurnal,白天的 日行性的,2
preface,序言,2
exempt,免除 豁免,2
peremptory,專橫的 不容反抗的 == domineering(跋扈的) (per + empt(買) +ory),2
factotum,雜工 打雜,2
decorous,合宜的 高雅的,2
efficacious,有效的 靈驗的,2
equate,認為…相等,2
nocturnal,夜行性的,2
profess,公開宣布,2
felicitate,祝賀 慶祝,2
figure,數字 人 形狀 圖表,2
inflammatory,煽動的 讓人激動的,2
affiliation,聯繫 聯合,2
falsification,竄改 偽造,2
confer ,討論 商談 賦予(稱號),2
inflict,使遭受(打擊),2
